Key,File,Type,UsedInMainMenu,english
eventAECAllInOnePair01_msg_T03,,,false,ペア 1が接近中: ダムダムとランニング・カミカゼ。 [1★]
eventAECAllInOnePair02_msg_T03,,,false,ペア 2が接近中: ドゥームロードとウィッチ。 [1★]
eventAECAllInOnePair03_msg_T03,,,false,ペア 3が接近中: エレクトリック・デーモンとエクスプローシブ・イーグル。 [1★]
eventAECAllInOnePair04_msg_T03,,,false,ペア 4が接近中: ハンマー・ガーディアンとメカニシャン。 [1★]
eventAECAllInOnePair05_msg_T03,,,false,ペア 5が接近中: ドルイドとエグゼキューショナー。 [1★]
eventAECAllInOnePair06_msg_T03,,,false,ペア 6が接近中: パーティー・ビーチとマイキル。 [1★]
eventAECAllInOnePair07_msg_T03,,,false,ペア 7が接近中: ヘルスカイリとロックブレイカー。 [1★]
eventAECAllInOnePair08_msg_T03,,,false,ペア 8が接近中: ゴーストとシンジェリー。 [1★]
eventAECAllInOnePair09_msg_T03,,,false,ペア 9が接近中: サイレンヘッドとマッシュルーム・ボス。 [1★]
eventAECAllInOnePair10_msg_T03,,,false,ペア 10が接近中: ヘッドレスとアーチャー。 [1★]
itemAECAllInOneHuntContract_T03,,,false,オールインワン・ハント 契約 [1★]
itemAECAllInOneHuntContract_desc_T03,,,false,レジェンダリー契約 | オールインワン・ルアーを設置し、エンドゲームの全ボス連戦を生き延びろ。各ペアは第2フェーズの時間枠で登場する。
questAECAllInOneHunt_completion_T03,,,false,オールインワンに関する契約を完了しました。 [1★]
questAECAllInOneHunt_description_T03,,,false,オールインワンに関するAEC契約です。ラリーを起動してルアーを設置し、指定ウェーブを生き延びた後に目標を撃破してください。 [1★]
questAECAllInOneHunt_name_T03,,,false,オールインワン・ハント [1★]
questAECAllInOneHunt_obj_pair01_T03,,,false,ダムダムとランニング・カミカゼを撃破する [1★]
questAECAllInOneHunt_obj_pair02_T03,,,false,ドゥームロードとウィッチを撃破する [1★]
