Key,Source,Context,Changes,English
buffAECNewbieProtection,buffs,Buff,,"[50DC50]Newbie protection[-]"
buffAECNewbieProtectionDesc,buffs,Buff,,"You are below Game Stage 100. AEC events will not directly target you or alter nearby spawns for you. Heatmap will still affect your surrounding spawns."
buffAECSafeZone,buffs,Buff,,"[00FF66]Stable Zone[-]"
buffAECSafeZoneDesc,buffs,Buff,,"Area stable. No active escalation detected in this biome. T05-T15 zombies cannot spawn in the forest biome, but they can spawn in other biomes."
buffAECHeatL0,buffs,Buff,,"[64B4FF]Hazard 0★[-]"
buffAECHeatDescL0,buffs,Buff,,"Zombie activity in this biome is stable. No escalation yet. [0000FF]To increase the hazard lvl, kill zombies in this biome.[-]"
buffAECHeatL1T5,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T6,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T7,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T8,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T9,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T10,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T11,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T12,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T13,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T14,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL1T15,buffs,Buff,,"[AAAAAA]Hazard 1★[-]"
buffAECHeatL2T5,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T6,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T7,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T8,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T9,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T10,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T11,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T12,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T13,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T14,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL2T15,buffs,Buff,,"[FFCC00]Hazard 2★[-]"
buffAECHeatL3T5,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T6,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T7,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T8,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T9,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T10,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T11,buffs,Buff,,"[FF9900]Hazard 3★[-]"
buffAECHeatL3T12,buffs,Buff,,"[FF9900]Hazard 3★[-]"
