Key,japanese
statPlayerExpGainRepairTool,経験値獲得:建設
statPlayerExpGainMining,XP獲得:採掘
statPlayerExpGainWinterDesertBiomes,経験値獲得:冬と砂漠でのキル数
statStaminaLossAxe,スタミナ消費:斧
statStaminaLossPickaxe,スタミナ消費:つるはし
statLootTime,戦利品の時間
statAttacksPerMinuteStunBaton,攻撃速度:スタンバトン
statAttacksPerMinuteMelee,攻撃速度:近接
statDegradationPerUse,使用ごとの劣化:採掘ツール
statStaminaLossMelee,スタミナ消費:近接
statHealingSpeed,健康回復率
statBlockDamageAxe,ブロックダメージ:斧
statMoneyLootQuantity,より多くの紙幣とデューク
statReloadSpeedArchery,リロード速度:アーチェリー
statCrouchSpeed,ステルス時のスピード
statFoodAndWaterLost,食料と水の消費量:ランニング
statReloadSpeed,リロード速度
statMaxStaminaBonus,スタミナボーナス
statStaminaRegenRunning,スタミナ回復:ランニング
statBarteringSelling,物々交換(販売)
statReloadSpeedGunslinger,リロード速度:ガンスリンガー
statFoodHealthAmount,食べ物から得られる健康ボーナス
statAttacksPerMinuteKnives,攻撃速度:ナイフとマチェット
statAttacksPerMinuteClubs,攻撃速度:棍棒と大ハンマー
statAttacksPerMinuteSalvaging,攻撃速度:サルベージ
statReloadSpeedMultiplier,リロード速度:すべての武器
statReloadSpeedAutomaticWeapon,リロード速度:自動武器
statReloadSpeedSniper,リロード速度:スナイパーライフル
statReloadSpeedShotgun,リロード速度:ショットガン
statRoundsPerMinuteShotgun,発射速度（1分あたり）:ショットガン
buffLumberjackSetBonus,木こり
buffPreacherSetBonus,説教者
buffRogueSetBonus,ローグ
buffAthleticSetBonus,アスレチック
buffEnforcerSetBonus,執行者
buffFarmerSetBonus,農家
buffBikerSetBonus,バイカー
buffScavengerSetBonus,スカベンジャー
buffRangerSetBonus,レンジャー
buffCommandoSetBonus,コマンド
buffAssassinSetBonus,暗殺者
buffMinerSetBonus,鉱夫
buffNomadSetBonus,遊牧民
buffNerdSetBonus,オタク
buffRaiderSetBonus,レイダー
buffSetBonusName,フルセットボーナス
buffSemiSetBonusName,セミセットボーナス
buffLightArmorSetBonusName,ライトアーマーボーナス
buffLightArmorSetBonusTooltip,ライトアーマーボーナスが有効です
buffLightArmorSetBonusDesc,軽装甲は動きを制限せず、重量もほとんどありません。\n\n移動速度が[DECEA3]10%[-]増加します。\n全体的な耐熱性が[DECEA3]10%[-]増加し、耐寒性が[DECEA3]5%[-]減少します。
buffMediumArmorSetBonusName,ミディアムアーマーボーナス
buffMediumArmorSetBonusTooltip,ミディアムアーマーボーナスが有効です
buffMediumArmorSetBonusDesc,中装甲は、感染した敵と積極的に戦うのに最適です。\n\n遠距離武器のダメージが[DECEA3]10%[-]増加します。\n全体的な温度耐性が[DECEA3]5%[-]増加します。
buffHeavyArmorSetBonusName,ヘビーアーマーボーナス
buffHeavyArmorSetBonusTooltip,ヘビーアーマーボーナスが有効です
buffHeavyArmorSetBonusDesc,重装甲は受けるダメージに対する耐性を大幅に高めます。また、近接戦闘では、強化された打撃を与えます。\n\n体力は[DECEA3]30[-]増加します。\n近接武器のダメージは[DECEA3]10%[-]増加します。\n全体的な冷気耐性は[DECEA3]10%[-]増加し、熱耐性は[DECEA3]5%[-]減少します。
armorLumberjackHelmetDesc,軽装甲\n鳥やスズメバチはあなたの友達です。木を伐採すれば、より多くの蜂蜜が見つかります。\n\nフルセットボーナス:木材の収穫量が増加します。
armorLumberjackOutfitDesc,軽装鎧\nポケットがいっぱいのベストで、あらゆるものを収納できます。重量を軽減します。\n\nフルセットボーナス:木材の収穫量が増加します。
armorLumberjackGlovesDesc,ライトアーマー\nたこのことは忘れてください。丈夫な革が斧のハンドルをしっかりと保持します。斧使用時のスタミナ消費を軽減します。\n\nフルセットボーナス:木材の収穫量が増加します。
armorLumberjackBootsDesc,軽装鎧\n斧を振る際のバランスを保つための快適な靴。ブロックに対する斧のダメージが増加します。\n\nフルセットボーナス:木材の収穫量が増加します。
buffLumberjackSetBonusTooltip,木こりフルセットボーナスが有効です
buffLumberjackSemiSetBonusTooltip,木こりセミセットボーナスが有効です
buffLumberjackSetBonusDesc,専門的な木こりの機器を使用すると、より効率的に木材を収穫できます。\n\n木材の生産量が{cvar(.armor木こりFSBDisplay:0)}%増加しました
buffLumberjackSemiSetBonusDesc,木こりのセットが不完全でも、木材をより効率的に収穫できます。\n\n木材生産量が{cvar(.armorSemi木こりFSBDisplay01:0)}%増加しました
armorPreacherHelmetDesc,軽装甲\n説教者の評判は交易コミュニティで高く評価されています。購入アイテムの割引を受けられます。\n\nフルセットボーナス:荒野での経験値獲得量が増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorPreacherOutfitDesc,軽装鎧\n主の祝福を受けたこの装束は、邪悪からあなたを守ります。受けるダメージを軽減します。\n\nフルセットボーナス:荒野で得られる経験値が増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorPreacherGlovesDesc,軽装甲\n敵を打ち倒せ。アンデッドに与えるダメージが増加します。\n\nフルセットボーナス:荒野で得られる経験値が増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
armorPreacherBootsDesc,軽装甲\n死んでしまったら何もできません。擦り傷や骨折の治癒時間を短縮します。\n\nフルセットボーナス:荒野で得られる経験値が増加し、[DECEA3]1[-]放射線効果に対する耐性が付与されます。
buffPreacherSetBonusTooltip,説教者フルセットボーナスが有効です
buffPreacherSemiSetBonusTooltip,説教者セミセットボーナス有効
buffPreacherSetBonusDesc,あなたは荒野で信仰に満たされるでしょう。\n\n荒野で得られる経験値が{cvar(.armorPreacherFSBDisplay:0)}%増加します。\nアクティブな放射線効果1つに対する耐性を付与します。
buffPreacherSemiSetBonusDesc,説教者セットが不完全でも、荒野で信仰に満たされるでしょう。\n\n荒野では、獲得経験値が{cvar(.armorSemiPreacherFSBDisplay:0)}%増加します。
armorRogueHelmetDesc,軽装鎧\n真の盗賊は常に戦利品を見抜く。戦利品の中にはより多くの紙幣と公爵が見つかる。\n\nフルセットボーナス:弓とクロスボウのダメージが増加する。
armorRogueOutfitDesc,ライトアーマー\n傷は犬のように治ります。重大な傷の治癒率が増加します。\n\nフルセットボーナス:弓とクロスボウのダメージが増加します。
armorRogueGlovesDesc,軽装甲\n矢やボルトが不意に手から滑り落ちることはありません。弓とクロスボウのリロード速度が向上します。\n\nフルセットボーナス:弓とクロスボウのダメージが増加します。
armorRogueBootsDesc,ライトアーマー\nほぼ忍者。ステルス時のノイズが減り、動きが速くなります。\n\nフルセットボーナス:弓とクロスボウのダメージが増加します。
buffRogueSetBonusTooltip,ローグフルセットボーナスが有効です
buffRogueSemiSetBonusTooltip,ローグセミセットボーナスが有効です
buffRogueSemiSetBonusDesc,ローグセットが不完全であっても、あなたは優れた射手です。\n\n弓とクロスボウのダメージが{cvar(.armorSemiRogueFSBDisplay:0)}%増加しました。
buffRogueSetBonusDesc,あなたはアーチェリーの達人です。\n\n弓とクロスボウのダメージが{cvar(.armorRogueFSBDisplay:0)}%増加しました
armorAthleticHelmetDesc,ライトアーマー\nマラソンに備えて食料と水を貯めてください。水と食料の消費量が減少します。\n\nフルセットボーナス:獲得するすべての経験値が増加します。
armorAthleticOutfitDesc,ライトアーマー\n細い体にスポーツマンの服。体力の量が増加します。\n\nフルセットボーナス:獲得するすべての経験値が増加します。
armorAthleticGlovesDesc,軽装甲\nあらゆる武器を素早く操作できる快適なグローブ。リロード速度が向上します。\n\nフルセットボーナス:獲得経験値がすべて増加します。
armorAthleticBootsDesc,ライトアーマー\nジョギング用の快適な靴。ランニング時のスタミナ回復速度が増加します。\n\nフルセットボーナス:獲得するすべての経験値が増加します。
buffAthleticSetBonusTooltip,アスレチックフルセットボーナス有効
buffAthleticSemiSetBonusTooltip,アスレチックセミセットボーナス有効
buffAthleticSemiSetBonusDesc,アスレティックセットが不完全であっても、スキルを伸ばすことができます。\n\n獲得する経験値はすべて{cvar(.armorSemiAthleticFSBDisplay:0)}%増加します。
buffAthleticSetBonusDesc,健康な体は健康な精神を意味します。\n\n獲得経験値はすべて{cvar(.armorAthleticFSBDisplay:0)}%増加します。
armorEnforcerHelmetDesc,ライトアーマー\nそのような帽子があれば、いつでも製品の良い価格を交渉できます。販売価格が増加します。\n\nフルセットボーナス:ガンスリンガーアビリティのダメージが増加します。
armorEnforcerOutfitDesc,ライトアーマー\nスタイリッシュで軽量な素材により、どんな衝撃にも耐えられます。重大な怪我に対する耐性が増加します。\n\nフルセットボーナス:ガンスリンガーの能力のダメージが増加します。
armorEnforcerGlovesDesc,軽装甲\nこの手袋は西部開拓時代に着用されていました。サブマシンガンとピストルのリロード速度が向上します。\n\nフルセットボーナス:ガンスリンガーのダメージが増加。
armorEnforcerBootsDesc,ライトアーマー\nこれらの靴はすぐに使えなくなるわけではありません。スタミナが増加します。\n\nフルセットボーナス:ガンスリンガーアビリティのダメージが増加します。
buffEnforcerSetBonusTooltip,執行者フルセットボーナスが有効です
buffEnforcerSemiSetBonusTooltip,執行者セミセットボーナス有効
buffEnforcerSemiSetBonusDesc,執行者セットが不完全であっても、ピストルはあなたの親友です。\n\nSMGとピストルによるダメージは{cvar(.armorSemiEnforcerFSBDisplay:0)}%増加します。
buffEnforcerSetBonusDesc,あなたの親友はピストルです。\n\nガンスリンガーのアビリティのダメージが{cvar(.armorEnforcerFSBDisplay:0)}%増加しました
armorFarmerHelmetDesc,ミディアムアーマー\n目や賞品に太陽が当たらないようにしてください。戦利品で種を見つけるチャンスが増加します。\n\nフルセットボーナス:追加の作物を収穫するチャンスが追加されます。
armorFarmerOutfitDesc,中装防具\n農民は食料の入手方法を知っているため、食料でより早く回復します。食料による体力とスタミナの回復速度が向上し、持ち上げる能力も向上します。\n\nフルセットボーナス:作物を1つ追加で収穫できるチャンスが追加されます。
armorFarmerGlovesDesc,中装甲\n真の農夫だけが素早く収穫する方法を知っている。ナイフとマチェットの攻撃速度が上昇する。\n\nフルセットボーナス:追加の作物を収穫できるチャンスが追加される。
armorFarmerBootsDesc,ミディアムアーマー\nフィールドでは快適なブーツに勝るものはありません。収穫時に種を獲得するチャンスを追加します。\n\nフルセットボーナス:追加の作物を収穫するチャンスを追加します。
buffFarmerSetBonusTooltip,農家フルセットボーナスが有効です
buffFarmerSemiSetBonusTooltip,農家セミセットボーナスが有効です
buffFarmerSetBonusDesc,真の農家は作物を傷つけずに正しく収穫する方法を知っている。\n\n収穫量をさらに{cvar(.armorFarmerFSBDisplay:0)}%増やすことができるようにする。
buffFarmerSemiSetBonusDesc,農家キットが不完全であっても、作物を傷つけずに適切に収穫する方法がわかります。\n\n作物の{cvar(.armorSemiFarmerFSBDisplay:0)}%を追加で収穫する機会が与えられます。
armorBikerHelmetDesc,ミディアムアーマー\n新しい領域に常に簡単に適応できます。砂漠と冬のバイオームで得られるすべての経験値が増加します。\n\nフルセットボーナス:野生動物や放射性ゾンビを倒すことで追加の経験値が得られます。
